year,month,day,luna
2019,7,31,0
2019,8,7,10
2019,8,15,20
2019,8,23,30
2019,8,30,0
2019,9,5,10
2019,9,13,20
2019,9,21,30
2019,9,28,0
2019,10,5,10
2019,10,13,20
2019,10,21,30
2019,10,27,0
2019,11,4,10
2019,11,12,20
2019,11,19,30
2019,11,26,0
2019,12,3,10
2019,12,11,20
2019,12,18,30
2019,12,25,0
2020,1,2,10
2020,1,10,20
2020,1,17,30
2020,1,24,0
2020,2,1,10
2020,2,8,20
2020,2,15,30
2020,2,23,0
2020,3,2,10
2020,3,9,20
2020,3,16,30
2020,3,24,0
2020,4,1,10
2020,4,7,20
2020,4,14,30
2020,4,22,0
